Расписание на  c 07.10.2024  года  ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Время;5а;каб;5б;каб;6а;каб;6б;каб;7а;каб;7б;каб;8а;каб;8б;каб;9а;каб;9б;каб;10А;каб;10Б;каб;11;каб
;8.00-9.45;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);;Разговор о важном (кл.час);201;Разговор о важном (кл.час);1109;Разговор о важном (кл.час);203
;9.00-9.45;математика;206;русский язык;205;техн/англ (Г/ЮВ);216/108;родн.яз/гос.яз (В/Е);220/210;алгебра;202;физика;105;русский язык;208;биология;104;алгебра;109;физкультура;;химия;218;алгебра;201;литература;207
;9.55-10.40;техн/англ (Г/ЮВ);103/108;англ/англ (С/ЮВ);315/108;родн.яз / гос.яз (А/Е);206/210;русский язык;205;русский язык;207;алгебра;104;литература;208;физкультура;;геометрия;109;алгебра;202;алгебра;203;химия;218;алгебра;201
;10.50-11.35;техн/англ (Г/ЮВ);103/108;англ/англ С/ЮВ);315/108;русский язык;205;математика;201;родн.яз/гос.яз. (А/Е);206/210;геометрия;104;алгебра;203;алгебра;204;литература;208;геометрия;202;физкультура;;история;109;химия;218
;11.45-12.30;;;;;;;;;;;;;родн.яз(В/Е/А);220/210/206;родн.яз(В/Г/А);220/202/206;физика;105;литература;208;инд.проект;203;геометрия;201;физика;106
;12.10-12.55;музыка;104;математика;204;литература;205;техн/англ (Г/ЮВ);216/108;физкультура;;русский язык;207;;;;;;;;;;;;;;
;13.05-13.50;русский язык;208;физкультура;;математика;202;история;109;англ/англ (С/ЮВ);315/108;родн.яз/гос.яз (В/Е);220/210;биология;104;геометрия;204;СК информат;;физика;105;литература;207;информатика;215;англ  (З);107
;;;;;;;;;;физика;105;англ/англ (З/С);107/108;физкультура;;русский язык;208;;;CR информ;;история;109;литература;207;геометрия;201
вторник;8.00-8.45;физкультура;;математика;203;русский язык;205;математика;201;русский язык;207;алгебра;108;инф/англ (М/К);216/316;техн/инф (Г/З);103/215;химия;218;общ-во;204;общ-во;109;англ (Т);314;физика;105
;9.00-9.45;история;206;музыка;104;литература;205;общ-во;109;алгебра;202;геометрия;108;алгебра;203;литература;208;алгебра;204;инф/техн (З/С);215/216;русский язык;207;физкультура;;алгебра;201
;9.55-10.40;математика;108;история;206;история;109;литература;205;геометрия;202;физкультура;;русский язык;208;алгебра;204;инф/техн (З/С);215/216;химия;218;физика;105;алгебра;201;русский язык;207
;10.50-11.35;русский язык;208;математика;204;математика;202;англ/техн (К/Г);316/216;физкультура;;родн.л/гос.яз. (А/Е);206/210;химия;218;физика;106;техн/инф (С/З);216/215;биология;104;геометрия;203;русский язык;207;физика;105
;11.45-12.30;;;;;;;;;;;;;физика;105;химия;218;русский язык;208;техн/инф (С/З);216/215;алгебра;203;физика;105;геометрия;201
;12.10-12.55;родн.яз/гос.яз (В/Г);220/202;русский язык;205;техн/англ (Г/К);216/316;физкультура;;родн.л/гос.яз (А/Е);220/210;русский язык;207;;;;;;;;;;;;;;
;13.05-13.50;;;родн.яз/гос.яз (Е/Г);210/206;;;русский язык;205;биология;107;история;204;геометрия;203;история;109;литература;208;география;104;англ.яз (Т);314;геометрия;201;физ-ра;107
;14.00-14.45;;;;;;;;;;;;;;;СК информат;;СК русский;;родн.яз (В/Е);220/210;;;;;англ  (З);107
среда;8.00-8.45;биология; ;ИЗО;218;география;104;математика;201;англ/англ(ЮВ/С);108/315;инф/техн (М/Г);216/103;алгебра;203;алгебра;202;русский язык;208;история;204;русский язык;207;физкультура;;история;109
;9.00-9.45;русский язык;208;биология;107;общ-во;109;ИЗО;218;инф/техн (М/Г);216/103;физкультура;;англ/англ (ЮВ/К);108/316;география;104;география;105;алгебра;202;литература;207;алгебра;201;информ;215
;9.55-10.40;литература;208;русский язык;205;ИЗО;218;география;104;история;204;техн/инф (Г/М);103/216;история;109;инф/англ (З/ЮВ);215/108;геометрия;202;англ/англ (З//К);107/316;УК алгебра;203;русский язык;207;алгебра;201
;10.50-11.35;ИЗО;218;литература;205;математика;202;родн.л/гос.яз (В/Е);220/210;техн/инф (Г/М);103/216;англ/англ (З/С);107/108;география;104;англ/инф (К/З);316/215;история;109;география;105;алгебра;203;литература;207;УК алгебра;201
;11.45-12.30;;;;;;;;;;;;;родн.л(В/Е/А);220/210/206;родн.ял(В/Г/А);220/210/105;биология;105;русский язык;208;физкультура;;история;109;русский язык;207
;12.10-12.55;англ/англ (К/ЮВ);316/108;англ/техн (ЮВ/С);108/103;русский язык;205;математика;201;ИЗО;218;география;104;;;;;;;;;;;;;;
;13.05-13.50;англ/англ (К/ЮВ);316/108;англ/техн (ЮВ/С);108/103;родн.л/гос.яз (А/Е);206/210;русский язык;205;география;104;ИЗО;218;биология;105;общ-во;109;физкультура;;литература;208;информат;215;инд.проект;201;литература;207
;14.00-14.45;;;;;;;;;;;;;;;;;родн.яз/гос(А/Е);206/210;СК русский;;;;;;;
четверг;8.00-8.45;литература;208;русский язык;205;англ/техн (ЮВ/Г);108/216;математика;201;русский язык;207;алгебра;203;ОБЗР;314;геометрия;206;физика;105;англ/англ (З//К);107/316;УК химия;218;УК физика;106;общ-во;109
;9.00-9.45;математика;203;математика;206;математика;202;русский язык;205;литература;207;общ-во;204;русский язык;208;англ/англ (ЮВ/З);316/215;ОБЗР;314;химия;218;физика;106;алгебра;201;информ;215
;9.55-10.40;русский язык;208;родн.л/гос.яз (Е/Г)210/204;210/206;русский язык;205;англ/техн (К/Г);316/216;алгебра;202;русский язык;207;химия;218;ОБЗР;314;англ/англ (ЮВ/З);108/107;физика;105;геометрия;203;общ-во;109;информ;215
;10.50-11.35;родн.яз/гос.яз (В/Г);220/204;физкультура;;техн/англ (Г/К);216/316;литература;205;родн.л/гос.яз (А/Е);206/210;литература;207;геометрия;203;русский язык;208;история;109;алгебра;202;информатика;                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;физика;106;англ  (З);107
;11.45-12.30;;;;;;;;;;;;;родн.яз(В/Е/А);220/210/206;родн.яз(В/Г/А);220/210/105;химия;218;история;204;история;109;геометрия;201;физика;105
;12.10-12.55;математика;203;литература;205;физкультура;;техн/англ (Г/ЮВ);216/108;геометрия;202;физика;105;;;;;;;;;;;;;;
;13.05-13.50;физкультура;;;;музыка;205;история;109;общ-во;204;родн.л/гос.яз (А/Е);206/210;физика;105;химия;218;география;104;вероятность и стат;202;англ.яз (Т);316;информатика;215;вер.и стат;201
;14.00-14.45;;;;;;;;;;;;;;;;;родн.лит (А/Е/Г);206/210;род(р)лит (Г);205;;;англ (Т); ;;
пятница;8.00-8.45;русский язык;208;география;104;история;109;музыка;218;физика;105;история;204;инф/техн (М/С);216/103;геометрия;203;англ/англ (ЮВ/З);108/107;ОБЗР;314;УК литер;207;алгебра;201;физика;105
;9.00-9.45;география;104;родн.л/гос.яз (Е/Г);210/206;биология;107;математика;201;геометрия;202;алгебра;105;техн/инф (С/М);103/216;англ/англ (ЮВ/К);108/316;алгебра;204;русский язык;208;общ-во;109;УК литер;207;ОБЗР ;314
;9.55-10.40;ОДНКНР;206;математика;204;русский язык;205;родн.яз/гос.яз (В/Е);220/210;география;104;геометрия;105;англ/англ (ЮВ/К);108/316;литература;208;общ-во;109;геометрия;202;ОБЗР;314;вер.и стат;201;литература;207
;10.50-11.35;родн.л/гос.яз (В/Г);220/202;русский язык;205;родн.яз/гос.яз (А/Е);206/210;биология;107;англ/англ (С/ЮВ);315/108;русский язык;207;география;104;русский язык;208;тистория;109;биология;105;геометрия;203;ОБЗР;314;геометрия;201
;11.45-12.30;;;;;;;;;;;;;геометрия;203;инф/техн (З/Г);215/103;русский язык;208;история;204;родн.лит/гос (Г/Е);109/210;родн.лит/гос (В/Е);220/210;алгебра;201
;12.10-12.55;математика;105;ОДНКНР;206;математика;202;русский язык;205;русский язык;207;география;104;;;;;;;;;;;;;;
;13.05-13.50;;;;;литература;205;физкультура;;история;204;;;общ-во;109;география;104;литература;208;англ/англ (З//К);107/316;алгебра;203;англ (Т);314;родн.лит/гос (В/Е);220/210
;14.00-14.45;;;;;;;;;;;;;;;;;родн.р.лит (Г);206;родн.яз (В/Е/Г);220/210/;англ.яз (Т);314;;;;
суббота;8.00-8.45;математика;201;литература;205;ОДНКНР;206;англ/англ (К/ЮВ);316/108;инф/техн (М/Г);216/103;литература;207;алгебра;203;физкультура;;алгебра;204;литература;208;биология;107;информ;215;общ-во;109
;9.00-9.45;история;206;математика;204;математика;202;русский язык;205;литература;207;инф/техн (М/Г);216/103;литература;208;история;109;англ/англ (ЮВ/З);108/107;физкультура;;вероятность и стат;203;информ;215;география;104
;9.55-10.40;литература;208;история;206;англ/англ (ЮВ/К);108/316;литература;205;техн/инф (Г/М);103/216;англ/англ (З/С);107/108;история;109;алгебра;204;физкультура;;алгебра;202;литература;207;география;104;информ;215
;10.50-11.35;техн/англ (Г/К);103/316;техн/англ (Г/С);103/315;русский язык;205;ОДНКНР;206;алгебра;202;биология;107;англ/инф (ЮВ/М);108/216;физика;105;вероятность и стат;204;русский язык;208;география;104;литература;207;физкультура;
;11.45-12.30;;;;;;;;;;;;;вероятность и стат;203;вероятность и стат;204;биология;104;физика;105;информат;215;общ-во;109;биология;107
;12.10-12.55;техн/англ (Г/К);103/316;техн/англ (Г/С);103/315;физкультура;;;;вероятность и стат;202;вероятность и стат;201;;;;;;;;;;;;;;
;13.05-13.50;;;;; ;;;;;;техн/инф (Г/М);103/216;физкультура;;биология;104;физика;105; СК математ;;информат;215;биология;107;история;109
;14.00-14.45;;;;;;;;;;;;;;;;;СК математ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Заместитель директора по УР ;;;Г.Ф.Галлямова;;;;;;;;;;;;;;;;;;;;;;
